Epoch,loss,Validation loss,Model,Training,split
7,2.595300436019897,2.499101161956787,ensemble5_cross_covariance_detector30s,instance,3
8,2.571986436843872,2.453681707382202,ensemble5_cross_covariance_detector30s,instance,3
9,2.568472623825073,2.568422555923462,ensemble5_cross_covariance_detector30s,instance,3
10,2.667583465576172,2.710448741912842,ensemble5_cross_covariance_detector30s,instance,3
11,2.767939805984497,2.6957807540893555,ensemble5_cross_covariance_detector30s,instance,3
12,2.6914870738983154,2.630956649780273,ensemble5_cross_covariance_detector30s,instance,3
13,2.724230527877808,2.729618787765503,ensemble5_cross_covariance_detector30s,instance,3
14,2.7870302200317383,2.753152370452881,ensemble5_cross_covariance_detector30s,instance,3
0,6.828681468963623,5.279176235198975,ensemble5_cross_covariance_detector30s,instance,4
1,4.490152835845947,3.829914569854736,ensemble5_cross_covariance_detector30s,instance,4
2,3.418569564819336,3.054497241973877,ensemble5_cross_covariance_detector30s,instance,4
3,2.84519100189209,2.724150896072388,ensemble5_cross_covariance_detector30s,instance,4
4,2.687710762023926,2.552508592605591,ensemble5_cross_covariance_detector30s,instance,4
5,2.5574300289154053,2.581972122192383,ensemble5_cross_covariance_detector30s,instance,4
6,2.6137311458587646,2.622608423233032,ensemble5_cross_covariance_detector30s,instance,4
7,2.606905937194824,2.569417953491211,ensemble5_cross_covariance_detector30s,instance,4
8,2.661580801010132,2.6882619857788086,ensemble5_cross_covariance_detector30s,instance,4
9,2.758160352706909,2.9318552017211914,ensemble5_cross_covariance_detector30s,instance,4
10,3.1882643699646,3.1414458751678467,ensemble5_cross_covariance_detector30s,instance,4
11,3.2952001094818115,3.496612310409546,ensemble5_cross_covariance_detector30s,instance,4
12,3.6544981002807617,3.551877021789551,ensemble5_cross_covariance_detector30s,instance,4
13,3.702943563461304,3.587873697280884,ensemble5_cross_covariance_detector30s,instance,4
14,3.734375715255737,3.65415096282959,ensemble5_cross_covariance_detector30s,instance,4
0,6.211311340332031,4.914507389068604,ensemble5_cross_covariance_detector30s,stead,0
1,4.237677097320557,3.516974449157715,ensemble5_cross_covariance_detector30s,stead,0
2,3.051105499267578,2.7521116733551025,ensemble5_cross_covariance_detector30s,stead,0
3,2.7290737628936768,2.786402940750122,ensemble5_cross_covariance_detector30s,stead,0
4,2.704371929168701,2.683909177780152,ensemble5_cross_covariance_detector30s,stead,0
